"id","code","name"
"natureza_juridica_1","101-5","Órgão Público do Poder Executivo Federal"
"natureza_juridica_2","102-3","Órgão Público do Poder Executivo Estadual ou do Distrito Federal"
"natureza_juridica_3","103-1","Órgão Público do Poder Executivo Municipal"
"natureza_juridica_4","104-0","Órgão Público do Poder Legislativo Federal"
"natureza_juridica_5","105-8","Órgão Público do Poder Legislativo Estadual ou do Distrito Federal"
"natureza_juridica_6","106-6","Órgão Público do Poder Legislativo Municipal"
"natureza_juridica_7","107-4","Órgão Público do Poder Judiciário Federal"
"natureza_juridica_8","108-2","Órgão Público do Poder Judiciário Estadual"
"natureza_juridica_9","110-4","Autarquia Federal"
"natureza_juridica_10","111-2","Autarquia Estadual ou do Distrito Federal"
"natureza_juridica_11","112-0","Autarquia Municipal"
"natureza_juridica_12","113-9","Fundação Federal"
"natureza_juridica_13","114-7","Fundação Estadual ou do Distrito Federal"
"natureza_juridica_14","115-5","Fundação Municipal"
"natureza_juridica_15","116-3","Órgão Público Autônomo Federal"
"natureza_juridica_16","117-1","Órgão Público Autônomo Estadual ou do Distrito Federal"
"natureza_juridica_17","118-0","Órgão Público Autônomo Municipal"
"natureza_juridica_18","119-8","Comissão Polinacional"
"natureza_juridica_19","120-1","Fundo Público"
"natureza_juridica_20","121-0","Associação Pública"
"natureza_juridica_21","201-1","Empresa Pública"
"natureza_juridica_22","203-8","Sociedade de Economia Mista"
"natureza_juridica_23","204-6","Sociedade Anônima Aberta"
"natureza_juridica_24","205-4","Sociedade Anônima Fechada"
"natureza_juridica_25","206-2","Sociedade Empresária Limitada"
"natureza_juridica_26","207-0","Sociedade Empresária em Nome Coletivo"
"natureza_juridica_27","208-9","Sociedade Empresária em Comandita Simples"
"natureza_juridica_28","209-7","Sociedade Empresária em Comandita por Ações"
"natureza_juridica_29","212-7","Sociedade em Conta de Participação"
"natureza_juridica_30","213-5","Empresário (Individual)"
"natureza_juridica_31","214-3","Cooperativa"
"natureza_juridica_32","215-1","Consórcio de Sociedades"
"natureza_juridica_33","216-0","Grupo de Sociedades"
"natureza_juridica_34","217-8","Estabelecimento no Brasil de Sociedade Estrangeira"
"natureza_juridica_35","219-4","Estabelecimento no Brasil de Empresa Binacional Argentino-Brasileira"
"natureza_juridica_36","221-6","Empresa Domiciliada no Exterior"
"natureza_juridica_37","222-4","Clube/Fundo de Investimento"
"natureza_juridica_38","223-2","Sociedade Simples Pura"
"natureza_juridica_39","224-0","Sociedade Simples Limitada"
"natureza_juridica_40","225-9","Sociedade Simples em Nome Coletivo"
"natureza_juridica_41","226-7","Sociedade Simples em Comandita Simples"
"natureza_juridica_42","227-5","Empresa Binacional"
"natureza_juridica_43","228-3","Consórcio de Empregadores"
"natureza_juridica_44","229-1","Consórcio Simples"
"natureza_juridica_45","303-4","Serviço Notarial e Registral (Cartório)"
"natureza_juridica_46","306-9","Fundação Privada"
"natureza_juridica_47","307-7","Serviço Social Autônomo"
"natureza_juridica_48","308-5","Condomínio Edilício"
"natureza_juridica_49","310-7","Comissão de Conciliação Prévia"
"natureza_juridica_50","311-5","Entidade de Mediação e Arbitragem"
"natureza_juridica_51","312-3","Partido Político"
"natureza_juridica_52","313-1","Entidade Sindical"
"natureza_juridica_53","320-4","Estabelecimento no Brasil de Fundação ou Associação Estrangeiras"
"natureza_juridica_54","321-2","Fundação ou Associação Domiciliada no Exterior"
"natureza_juridica_55","322-0","Organização Religiosa"
"natureza_juridica_56","323-9","Comunidade Indígena"
"natureza_juridica_57","324-7","Fundo Privado"
"natureza_juridica_58","399-9","Associação Privada"
"natureza_juridica_59","401-4","Empresa Individual Imobiliária"
"natureza_juridica_60","402-2","Segurado Especial"
"natureza_juridica_61","408-1","Contribuinte individual"
"natureza_juridica_62","409-0","Candidato a Cargo Político Eletivo"
"natureza_juridica_63","411-1","Leiloeiro"
"natureza_juridica_64","501-0","Organização Internacional"
"natureza_juridica_65","502-9","Representação Diplomática Estrangeira"
"natureza_juridica_66","503-7","Outras Instituições Extraterritoriais"
