"id","code","name"
"contract_type_1","01","Empregado"
"contract_type_2","02","Trabalhador avulso"
"contract_type_3","03","Trabalhador não vinculado ao RGPS, mas com direito ao FGTS"
"contract_type_4","04","Empregado sob contrato de trabalho por prazo determinado - Lei n° 9.601/98, com as alterações da Medida Provisória n° 2.164-41, de 24/08/2001"
"contract_type_5","05","Contribuinte individual - Diretor não empregado com FGTS – Lei no 8.036/90, art. 16"
"contract_type_6","06","Empregado Doméstico"
"contract_type_7","07","Menor aprendiz - Lei n°10.097/2000"
"contract_type_8","11","Contribuinte Individual - Diretor não empregado e demais empresários sem FGTS"
"contract_type_9","12","Demais Agentes Públicos"
"contract_type_10","13","Contribuinte individual – Trabalhador autônomo ou a este equiparado, inclusive o operador de máquina, com contribuição sobre remuneração; trabalhador associado à cooperativa de produção"
"contract_type_11","14","Contribuinte individual – Trabalhador autônomo ou a este equiparado, inclusive o operador de máquina, com contribuição sobre salário-base"
"contract_type_12","15","Contribuinte individual – Transportador autônomo, com contribuição sobre remuneração"
"contract_type_13","16","Contribuinte individual – Transportador autônomo, com contribuição sobre salário-base"
"contract_type_14","17","Contribuinte individual – Cooperado que presta serviços a empresas contratantes da cooperativa de trabalho"
"contract_type_15","18","Contribuinte Individual – Transportador cooperado que presta serviços a empresas contratantes da cooperativa de trabalho"
"contract_type_16","19","Agente Político"
"contract_type_17","20","Servidor Público ocupante, exclusivamente, de cargo em comissão e, Servidor Público ocupante de cargo temporário"
"contract_type_18","21","Servidor Público titular de cargo efetivo, magistrado, membro do Ministério Público e do Tribunal e Conselho de Contas"
"contract_type_19","22","Contribuinte individual – contratado por outro contribuinte individual equiparado a empresa ou por produtor rural pessoa física ou por missão diplomática e repartição consular de carreira estrangeiras"
"contract_type_20","23","Contribuinte individual – transportador autônomo contratado por outro contribuinte individual equiparado à empresa ou por produtor rural pessoa física ou por missão diplomática e repartição consular de carreira estrangeiras"
"contract_type_21","24","Contribuinte individual – Cooperado que presta serviços a entidade beneficente de assistência social isenta da cota patronal ou a pessoa física, por intermédio da cooperativa de trabalho"
"contract_type_22","25","Contribuinte individual – Transportador cooperado que presta serviços a entidade beneficente de assistência social isenta da cota patronal ou a pessoa física, por intermédio da cooperativa de trabalho"
"contract_type_23","26","Dirigente sindical, em relação ao adic. pago pelo sindicato; magistrado classista temporário da Justiça do Trabalho; magistrado dos Tribunais Eleitorais, quando, nas 3 situações, for mantida a qualidade de seg empregado (sem FGTS)"
