"id","code","name"
"grau_de_instrucao_1","1","Analfabeto, inclusive o que, embora tenha recebido instrução, não se alfabetizou"
"grau_de_instrucao_2","2","Até o 5º ano incompleto do Ensino Fundamental (antiga 4ª série) ou que se tenha alfabetizado sem ter frequentado escola regular"
"grau_de_instrucao_3","3","5º ano completo do Ensino Fundamental"
"grau_de_instrucao_4","4","Do 6º ao 9º ano do Ensino Fundamental incompleto (antiga 5ª à 8ª série)"
"grau_de_instrucao_5","5","Ensino Fundamental completo"
"grau_de_instrucao_6","6","Ensino Médio incompleto"
"grau_de_instrucao_7","7","Ensino Médio completo"
"grau_de_instrucao_8","8","Educação Superior incompleta"
"grau_de_instrucao_9","9","Educação Superior completa"
"grau_de_instrucao_10","10","Mestrado completo"
"grau_de_instrucao_11","11","Doutorado completo"
