"id","code","name"
"motivo_de_desligamento_1","10","Rescisão de contrato de trabalho por justa causa e iniciativa do empregador ou demissão de servidor"
"motivo_de_desligamento_2","11","Rescisão de contrato de trabalho sem justa causa por iniciativa do empregador ou exoneração de oficio de servidor de cargo efetivo ou exoneração de cargo em comissão"
"motivo_de_desligamento_3","12","Término do contrato de trabalho"
"motivo_de_desligamento_4","20","Rescisão com justa causa por iniciativa do empregado (rescisão indireta)"
"motivo_de_desligamento_5","21","Rescisão sem justa causa por iniciativa do empregado ou exoneração de cargo efetivo a pedido do servidor"
"motivo_de_desligamento_6","22","Posse em outro cargo inacumulável (específico para servidor público)"
"motivo_de_desligamento_7","30","Transferência de empregado entre estabelecimentos da mesma empresa ou para outra empresa, com ônus para a cedente"
"motivo_de_desligamento_8","31","Transferência de empregado entre estabelecimentos da mesma empresa ou para outra empresa, sem ônus para a cedente"
"motivo_de_desligamento_9","32","Readaptação (específico para servidor público)"
"motivo_de_desligamento_10","33","Cessão"
"motivo_de_desligamento_11","34","Redistribuição (específico para servidor público)"
"motivo_de_desligamento_12","40","Mudança de regime trabalhista"
"motivo_de_desligamento_13","50","Reforma de militar para a reserva remunerada"
"motivo_de_desligamento_14","60","Falecimento"
"motivo_de_desligamento_15","62","Falecimento decorrente de acidente do trabalho típico (que ocorre no exercício de atividades profissionais a serviço da empresa)"
"motivo_de_desligamento_16","63","Falecimento decorrente de acidente do trabalho de trajeto (ocorrido no trajeto residência–trabalho–residência)"
"motivo_de_desligamento_17","64","Falecimento decorrente de doença profissional"
"motivo_de_desligamento_18","70","Aposentadoria por tempo de contribuição, com rescisão contratual"
"motivo_de_desligamento_19","71","Aposentadoria por tempo de contribuição, sem rescisão contratual"
"motivo_de_desligamento_20","72","Aposentadoria por idade, com rescisão contratual"
"motivo_de_desligamento_21","73","Aposentadoria por invalidez, decorrente de acidente do trabalho"
"motivo_de_desligamento_22","74","Aposentadoria por invalidez, decorrente de doença profissional"
"motivo_de_desligamento_23","75","Aposentadoria compulsória"
"motivo_de_desligamento_24","76","Aposentadoria por invalidez, exceto a decorrente de doença profissional ou acidente do trabalho"
"motivo_de_desligamento_25","78","Aposentadoria por idade, sem rescisão contratual"
"motivo_de_desligamento_26","79","Aposentadoria especial, com rescisão contratual"
"motivo_de_desligamento_27","80","Aposentadoria especial, sem rescisão contratual"
