"id","code","name"
"movimentacao_1","H","Rescisão, com justa causa, por iniciativa do empregador"
"movimentacao_2","I1","Rescisão, sem justa causa, por iniciativa do empregador"
"movimentacao_3","I2","Rescisão por culpa recíproca ou força maior"
"movimentacao_4","I3","Rescisão por término do contrato a termo"
"movimentacao_5","I4","Rescisão, sem justa causa, do contrato de trabalho do empregado doméstico, por iniciativa do empregador"
"movimentacao_6","J","Rescisão do contrato de trabalho por iniciativa do empregado"
"movimentacao_7","K","Rescisão a pedido do empregado ou por iniciativa do empregador, com justa causa, no caso de empregado não optante, com menos de um ano de serviço"
"movimentacao_8","L","Outros motivos de rescisão do contrato de trabalho"
"movimentacao_9","M","Mudança de regime estatutário"
"movimentacao_10","N1","Transferência do empregado para outro estabelecimento da mesma empresa"
"movimentacao_11","N2","Transferência do empregado para outra empresa que tenha assumido os encargos trabalhistas, sem que tenha havido rescisão de contrato de trabalho"
"movimentacao_12","N3","Empregado proveniente de transferência de outro estabelecimento da mesma empresa ou de outra empresa, sem rescisão do contrato de trabalho"
"movimentacao_13","O1","Afastamento temporário por motivo de acidente do trabalho, por período superior a 15 dias"
"movimentacao_14","O2","Novo afastamento temporário em decorrência do mesmo acidente do trabalho"
"movimentacao_15","O3","Afastamento temporário por motivo de acidente do trabalho, por período igual ou inferior a 15 dias"
"movimentacao_16","P1","Afastamento temporário por motivo de doença, por período superior a 15 dias"
"movimentacao_17","P2","Novo afastamento temporário em decorrência da mesma doença, dentro de 60 dias contados da cessação do afastamento anterior"
"movimentacao_18","P3","Afastamento temporário por motivo de doença, por período igual ou inferior a 15 dias"
"movimentacao_19","Q1","Afastamento temporário por motivo de licença-maternidade (120 dias)"
"movimentacao_20","Q2","Prorrogação do afastamento temporário por motivo de licença-maternidade"
"movimentacao_21","Q3","Afastamento temporário por motivo de aborto não criminoso"
"movimentacao_22","Q4","Afastamento temporário por motivo de licença-maternidade decorrente de adoção ou guarda judicial de criança até (um) ano de idade (120 dias)"
"movimentacao_23","Q5","Afastamento temporário por motivo de licença-maternidade decorrente de adoção ou guarda judicial de criança a partir de 1(um) ano até 4(quatro) anos de idade (60 dias)"
"movimentacao_24","Q6","Afastamento temporário por motivo de licença-maternidade decorrente de adoção ou guarda judicial de criança de 4 (quatro) até 8 (oito) anos de idade (30 dias)"
"movimentacao_25","R","Afastamento temporário para prestar serviço militar"
"movimentacao_26","S2","Falecimento"
"movimentacao_27","S3","Falecimento motivado por acidente do trabalho"
"movimentacao_28","U1","Aposentadoria"
"movimentacao_29","U3","Aposentadoria por invalidez"
"movimentacao_30","V3","Remuneração de comissão e/ou percentagens devidas após a extinção de contrato de trabalho"
"movimentacao_31","W","Afastamento temporário para exercício de mandato sindical"
"movimentacao_32","X","Licença sem vencimentos"
"movimentacao_33","Y","Outros motivos de afastamento temporário"
"movimentacao_34","Z1","Retorno de afastamento temporário por motivo de licença-maternidade"
"movimentacao_35","Z2","Retorno de afastamento temporário por motivo de acidente do trabalho"
"movimentacao_36","Z3","Retorno de novo afastamento temporário em decorrência do mesmo acidente do trabalho"
"movimentacao_37","Z4","Retorno de afastamento temporário por motivo de prestação de serviço militar"
"movimentacao_38","Z5","Outros retornos de afastamento temporário e/ou licença"
"movimentacao_39","Z6","Retorno de afastamento temporário por motivo de acidente do trabalho, por período igual ou inferior a 15 dias"
