"id","code","name"
"nationality_1","10","Brasileiro"
"nationality_2","20","Naturalizado brasileiro"
"nationality_3","21","Argentino"
"nationality_4","22","Boliviano"
"nationality_5","23","Chileno"
"nationality_6","24","Paraguaio"
"nationality_7","25","Uruguaio"
"nationality_8","26","Venezuelano"
"nationality_9","27","Colombiano"
"nationality_10","28","Peruano"
"nationality_11","29","Equatoriano"
"nationality_12","30","Alemão"
"nationality_13","31","Belga"
"nationality_14","32","Britânico"
"nationality_15","34","Canadense"
"nationality_16","35","Espanhol"
"nationality_17","36","Norte-americano (EUA)"
"nationality_18","37","Francês"
"nationality_19","38","Suíço"
"nationality_20","39","Italiano"
"nationality_21","40","Haitiano"
"nationality_22","41","Japonês"
"nationality_23","42","Chinês"
"nationality_24","43","Coreano"
"nationality_25","44","Russo"  
"nationality_26","45","Português"
"nationality_27","46","Paquistanês"
"nationality_28","47","Indiano"
"nationality_29","48","Outros latino-americanos"
"nationality_30","49","Outros asiáticos"
"nationality_31","51","Outros Europeus"
"nationality_32","60","Angolano"
"nationality_33","61","Congolês"
"nationality_34","62","Sul-Africano"
"nationality_35","70","Outros Africanos"
"nationality_36","80","Outros"
