"id","code","name"
"recolhimento_1","115","Recolhimento ao FGTS e informações à Previdência Social"
"recolhimento_2","130","Recolhimento ao FGTS e informações à Previdência Social relativas ao trabalhador avulso portuário"
"recolhimento_3","135","Recolhimento e/ou declaração ao FGTS e informações à Previdência Social relativas ao trabalhador avulso não portuário"
"recolhimento_4","145","Recolhimento ao FGTS de diferenças apuradas pela CAIXA"
"recolhimento_5","150","Recolhimento ao FGTS e informações à Previdência Social de empresa prestadora de serviços com cessão de mão-de-obra e empresa de trabalho temporário Lei 6.019/74, em relação aos empregados cedidos, ou de obra de construção civil – empreitada parcial. no"
"recolhimento_6","155","Recolhimento ao FGTS e informações à Previdência Social de obra de construção civil – empreitada total ou obra própria"
"recolhimento_7","211","Declaração para a Previdência Social de Cooperativa de Trabalho relativa aos contribuintes individuais cooperados que prestam serviços a tomadores"
"recolhimento_8","307","Recolhimento de Parcelamento de débito com o FGTS"
"recolhimento_9","317","Recolhimento de Parcelamento de débito com o FGTS de empresa com tomador de serviços"
"recolhimento_10","327","Recolhimento de Parcelamento de débito com o FGTS priorizando os valores devidos aos trabalhadores"
"recolhimento_11","337","Recolhimento de Parcelamento de débito com o FGTS de empresas com tomador de serviços, priorizando os valores devidos aos trabalhadores"
"recolhimento_12","345","Recolhimento de parcelamento de débito com o FGTS relativo a diferença de recolhimento, priorizando os valores devidos aos trabalhadores"
"recolhimento_13","418","Recolhimento recursal para o FGTS"
"recolhimento_14","604","Recolhimento ao FGTS de entidades com fins filantrópicos – Decreto-Lei n° 194, de 24/02/1967 (competências anteriores a 10/1989)"
"recolhimento_15","608","Recolhimento ao FGTS e informações à Previdência Social relativo a dirigente sindical"
"recolhimento_16","640","Recolhimento ao FGTS para empregado não optante (competência anterior a 10/1988)"
"recolhimento_17","650","Recolhimento ao FGTS e Informações à Previdência Social relativo a Anistiados, Reclamatória Trabalhista, Reclamatória Trabalhista com reconhecimento de vínculo, Acordo ou Dissídio ou Convenção Coletiva, Comissão Conciliação Prévia ou Núcleo Intersindical Conciliação Trabalhista"
"recolhimento_18","660","Recolhimento exclusivo ao FGTS relativo a Anistiados, Conversão Licença Saúde em Acidente Trabalho, Reclamatória Trabalhista, Acordo ou Dissídio ou Convenção Coletiva, Comissão Conciliação Prévia ou Núcleo Intersindical Conciliação Trabalhista"
