"id","code","name"
"tipo_de_admissao_1","1","Admissão de empregado no primeiro emprego ou nomeação de servidor em caráter efetivo ou em comissão, no primeiro emprego"
"tipo_de_admissao_2","2","Admissão de empregado com emprego anterior (reemprego) ou nomeação de servidor em caráter efetivo ou em comissão, com emprego anterior (reemprego)"
"tipo_de_admissao_3","3","Transferência de empregado oriundo de estabelecimento da mesma empresa ou de outra empresa com ônus para a cedente"
"tipo_de_admissao_4","4","Transferência de empregado oriundo de estabelecimento da mesma empresa ou de outra empresa sem ônus para a cedente"
"tipo_de_admissao_5","5","Reintegração"
"tipo_de_admissao_6","6","Recondução (específico para servidor público)"
"tipo_de_admissao_7","7","Reversão, (específico para servidor público)"
"tipo_de_admissao_8","8","Requisição"
"tipo_de_admissao_9","9","Exercício provisório de servidor oriundo do mesmo órgão/entidade ou de outro órgão/entidade"
"tipo_de_admissao_10","10","Readaptação (específico para servidor público)"
"tipo_de_admissao_11","11","Redistribuição (específico para servidor público)"
"tipo_de_admissao_12","12","Exercício descentralizado de servidor oriundo do mesmo órgão/entidade ou de outro órgão/entidade"
"tipo_de_admissao_13","13","Remoção (específico para servidor público)"
